id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,price,color,pattern,size,material
WPJ-008-XL,Women Dotted Printed Navy Blue Lounge Wear,Women Dotted Printed Navy Blue Lounge Wear,in stock,new,https://www.adoreaboo.com/store/item/Women+Dotted+Printed+Navy+Blue+Lounge+Wear?id=36,https://www.adoreaboo.com/aalam/stock/item/36/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,950.0 INR,Navy Blue,Dots,XL,Cotton
FACEMASK-004,Kids Blue Sailor Printed Face Mask,Kids Blue Sailor Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Blue+Sailor+Printed+Face+Mask?id=37,https://www.adoreaboo.com/aalam/stock/item/37/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Blue,Panda,Free Size,Cotton
FACEMASK-009,Kids Orange Dancing Panda Printed Face Mask,Kids Orange Dancing Panda Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Orange+Dancing+Panda+Printed+Face+Mask?id=38,https://www.adoreaboo.com/aalam/stock/item/38/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Peach,Panda,Free Size,Cotton
FACEMASK-006,Kids White Butterfly Printed Face Mask,Kids White Butterfly Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+White+Butterfly+Printed+Face+Mask?id=39,https://www.adoreaboo.com/aalam/stock/item/39/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Half White,Insects,Free Size,Cotton
FACEMASK-002,Kids Yellow Cat Eye Printed Face Mask,Kids Yellow Cat Eye Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Yellow+Cat+Eye+Printed+Face+Mask?id=40,https://www.adoreaboo.com/aalam/stock/item/40/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Yellow,Foot prints,Free Size,Cotton
FACEMASK-005,Kids Green Comic Printed Face Mask,Kids Green Comic Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Green+Comic+Printed+Face+Mask?id=41,https://www.adoreaboo.com/aalam/stock/item/41/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Green,Cartoon,Free Size,Cotton
FACEMASK-007,Kids Yellow Space Walk Printed Face Mask,Kids Yellow Space Walk Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Yellow+Space+Walk+Printed+Face+Mask?id=42,https://www.adoreaboo.com/aalam/stock/item/42/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Yellow,Cosmic,Free Size,Cotton
FACEMASK-008,Kids Rose Unicorn Printed Face Mask,Kids Rose Unicorn Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Rose+Unicorn+Printed+Face+Mask?id=43,https://www.adoreaboo.com/aalam/stock/item/43/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Pink,Cosmic,Free Size,Cotton
FACEMASK-001,Kids Blue Octopus Printed Face Mask,Kids Blue Octopus Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Blue+Octopus+Printed+Face+Mask?id=44,https://www.adoreaboo.com/aalam/stock/item/44/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Blue,Sea World,Free Size,Cotton
FACEMASK-003,Kids Brown Grass Bear Printed Face Mask,Kids Brown Grass Bear Printed Face Mask,in stock,new,https://www.adoreaboo.com/store/item/Kids+Brown+Grass+Bear+Printed+Face+Mask?id=45,https://www.adoreaboo.com/aalam/stock/item/45/image/_/face-img,adoreboo,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,120.0 INR,Brown,Sea World,Free Size,Cotton
