ID,ITEM NAME,ITEM TYPE,ITEM CODE,SALE PRICE,SALE DISCOUNT RATE,SALE DISCOUNT PRICE,SALE DISCOUNT MODE,CURRENT STOCK,IS PUBLIC,PROPERTY:Colour,PROPERTY:Fabric,PROPERTY:Feeding Maxi,PROPERTY:Neck,PROPERTY:Size,PROPERTY:Skirt Length,PROPERTY:Sleeve Type,PROPERTY:Total Length,PROPERTY:__category
"112","Cinderella","Ready to Wear Blouses","CINDBOUGXL","690.00","25.00","172.50","rate","53.0","True","Bougainvillea",,,,"XL",,,,
"113","Cinderella","Ready to Wear Blouses","CINDBOUGX","690.00","25.00","172.50","rate","49.0","True","Bougainvillea",,,,"XS",,,,
"114","Cinderella","Ready to Wear Blouses","CINDBOUGS","690.00","25.00","172.50","rate","60.0","True","Bougainvillea",,,,"S",,,,
"115","Cinderella","Ready to Wear Blouses","CINDBOUGM","690.00","25.00","172.50","rate","122.0","True","Bougainvillea",,,,"M",,,,
"116","Cinderella","Ready to Wear Blouses","CINDBOUGL","690.00","25.00","172.50","rate","95.0","True","Bougainvillea",,,,"L",,,,
"117","Cinderella","Ready to Wear Blouses","CINDBLACKX","690.00","25.00","172.50","rate","24.0","True","Black",,,,"XS",,,,
"118","Cinderella","Ready to Wear Blouses","CINDBLACKXL","690.00","25.00","172.50","rate","34.0","True","Black",,,,"XL",,,,
"119","Cinderella","Ready to Wear Blouses","CINDBLACKS","690.00","25.00","172.50","rate","","True","Black",,,,"S",,,,
"120","Cinderella","Ready to Wear Blouses","CINDBLACKL","690.00","25.00","172.50","rate","","True","Black",,,,"L",,,,
"121","Cinderella","Ready to Wear Blouses","CINDBLACKM","690.00","25.00","172.50","rate","1.0","True","Black",,,,"M",,,,
"122","Cinderella","Ready to Wear Blouses","CINDATGOLDXL","690.00","25.00","172.50","rate","29.0","True","Antique Gold",,,,"XL",,,,
"123","Cinderella","Ready to Wear Blouses","CINDATGOLDM","690.00","25.00","172.50","rate","6.0","True","Antique Gold",,,,"M",,,,
"124","Cinderella","Ready to Wear Blouses","CINDATGOLDX","690.00","25.00","172.50","rate","20.0","True","Antique Gold",,,,"XS",,,,
"125","Cinderella","Ready to Wear Blouses","CINDATGOLDL","690.00","25.00","172.50","rate","9.0","True","Antique Gold",,,,"L",,,,
"126","Cinderella","Ready to Wear Blouses","CINDATGOLDS","690.00","25.00","172.50","rate","","True","Antique Gold",,,,"S",,,,
"127","Royal Blue","Saree Contours","RBX02","1190.00","25.00","297.50","rate","87.0","True","Cobalt",,,,"Skinny","Mini",,,"clearout,Saree Contours"
"128","Royal Blue","Saree Contours","RBX03","1190.00","25.00","297.50","rate","93.0","True","Cobalt",,,,"Skinny","Maxi",,,"Saree Contours"
"129","Royal Blue","Saree Contours","RBS02","1190.00","25.00","297.50","rate","","True","Cobalt",,,,"Skubby","Mini",,,"Saree Contours"
"130","Royal Blue","Saree Contours","RBS01","1190.00","25.00","297.50","rate","17.0","True","Cobalt",,,,"Skubby","Micro",,,"Saree Contours"
"131","Royal Blue","Saree Contours","RBM03","1190.00","25.00","297.50","rate","","True","Cobalt",,,,"Plumpy","Maxi",,,"Saree Contours"
"132","Royal Blue","Saree Contours","RBM02","1190.00","25.00","297.50","rate","50.0","True","Cobalt",,,,"Plumpy","Mini",,,"clearout,Saree Contours"
"133","Royal Blue","Saree Contours","RBS03","1190.00","25.00","297.50","rate","26.0","True","Cobalt",,,,"Skubby","Maxi",,,"Saree Contours"
"134","Royal Blue","Saree Contours","RBX01","1190.00","25.00","297.50","rate","51.0","True","Cobalt",,,,"Skinny","Micro",,,"Saree Contours"
"135","Royal Blue","Saree Contours","RBM01","1190.00","25.00","297.50","rate","46.0","True","Cobalt",,,,"Plumpy","Micro",,,"Saree Contours,clearout"
"136","Royal Blue","Saree Contours","RBL03","1190.00","25.00","297.50","rate","","True","Cobalt",,,,"Chunky","Maxi",,,"Saree Contours"
