id,title,description,availability,condition,link,image_link,brand,google_product_category,fb_product_category,sale price,price
01-HERJ-NB-003 - 1,Dusty Orchid - 1-Herbal Dyed Organic Cotton Jabla,Dusty Orchid - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=60,https://www.beelittle.in/aalam/stock/item/60/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,244.3 INR,349.0 INR
01-HERJ-03-004 - 1,Kasam Putty - 1-Herbal Dyed Organic Cotton Jabla,Kasam Putty - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=61,https://www.beelittle.in/aalam/stock/item/61/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,279.3 INR,399.0 INR
01-HERJ-NB-004 - 1,Kasam Putty - 1-Herbal Dyed Organic Cotton Jabla,Kasam Putty - 1-Herbal Dyed Organic Cotton Jabla,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=62,https://www.beelittle.in/aalam/stock/item/62/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,244.3 INR,349.0 INR
02-HEJS-36-001-1,Woad Blue - 1-Herbal Dyed Jabla and Shorts,Woad Blue - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=63,https://www.beelittle.in/aalam/stock/item/63/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
02-HEJS-612-001-1,Woad Blue - 1-Herbal Dyed Jabla and Shorts,Woad Blue - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Woad+Blue+-+1?id=64,https://www.beelittle.in/aalam/stock/item/64/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
02-HEJS-36-002-1,Cranberry - 1-Herbal Dyed Jabla and Shorts,Cranberry - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=65,https://www.beelittle.in/aalam/stock/item/65/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
02-HEJS-612-002-1,Cranberry - 1-Herbal Dyed Jabla and Shorts,Cranberry - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Cranberry+-+1?id=66,https://www.beelittle.in/aalam/stock/item/66/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
02-HEJS-36-003-1,Dusty Orchid - 1-Herbal Dyed Jabla and Shorts,Dusty Orchid - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=67,https://www.beelittle.in/aalam/stock/item/67/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
02-HEJS-612-003-1,Dusty Orchid - 1-Herbal Dyed Jabla and Shorts,Dusty Orchid - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Dusty+Orchid+-+1?id=68,https://www.beelittle.in/aalam/stock/item/68/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
02-HEJS-36-004-1,Kasam Putty - 1-Herbal Dyed Jabla and Shorts,Kasam Putty - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=69,https://www.beelittle.in/aalam/stock/item/69/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,599.0 INR
02-HEJS-612-004-1,Kasam Putty - 1-Herbal Dyed Jabla and Shorts,Kasam Putty - 1-Herbal Dyed Jabla and Shorts,out of stock,new,https://www.beelittle.in/store/item/Kasam+Putty+-+1?id=70,https://www.beelittle.in/aalam/stock/item/70/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,649.0 INR
1-FFR-36-211,Pink Dots-Frill Frock,Pink Dots-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=71,https://www.beelittle.in/aalam/stock/item/71/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,429.0 INR
1-FFR-12-211,Pink Dots-Frill Frock,Pink Dots-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=72,https://www.beelittle.in/aalam/stock/item/72/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-FFR-612-211,Pink Dots-Frill Frock,Pink Dots-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=73,https://www.beelittle.in/aalam/stock/item/73/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,429.0 INR
1-FFR-23-211,Pink Dots-Frill Frock,Pink Dots-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Pink+Dots?id=74,https://www.beelittle.in/aalam/stock/item/74/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-FFR-36-212,Peter rabbit-Frill Frock,Peter rabbit-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=75,https://www.beelittle.in/aalam/stock/item/75/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,429.0 INR
1-FFR-12-212,Peter rabbit-Frill Frock,Peter rabbit-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=76,https://www.beelittle.in/aalam/stock/item/76/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,449.0 INR
1-FFR-612-212,Peter rabbit-Frill Frock,Peter rabbit-Frill Frock,out of stock,new,https://www.beelittle.in/store/item/Peter+rabbit?id=77,https://www.beelittle.in/aalam/stock/item/77/image/_/face-img,Beelittle,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing,,429.0 INR
